metric,lang,lp,k,m,condition,severity,family,positions,chain_step,chain_plan,doc_id,family_id,block_id,n_tokens_src,n_tokens_tgt,truncated,S,s_1,s_2,s_3,s_4
mock,de,en-de(synthetic),1,0,none,,,,0,"1,2,3,0",bbbfc9543ca8dca0,de_bbbfc9543ca8dca0_4,de_bbbfc9543ca8dca0_4_k1,24,25,False,0.8497777767338126,0.8497777767338126,,,
mock,de,en-de(synthetic),1,1,minor_accuracy,minor,accuracy,0,4,"1,2,3,0",bbbfc9543ca8dca0,de_bbbfc9543ca8dca0_4,de_bbbfc9543ca8dca0_4_k1,24,25,False,0.7238970733300653,0.7238970733300653,,,
mock,de,en-de(synthetic),1,1,minor_fluency,minor,fluency,0,4,"1,2,3,0",bbbfc9543ca8dca0,de_bbbfc9543ca8dca0_4,de_bbbfc9543ca8dca0_4_k1,24,25,False,0.8092218303875952,0.8092218303875952,,,
mock,de,en-de(synthetic),1,1,major_accuracy,major,accuracy,0,4,"1,2,3,0",bbbfc9543ca8dca0,de_bbbfc9543ca8dca0_4,de_bbbfc9543ca8dca0_4_k1,24,25,False,0.5619663673363604,0.5619663673363604,,,
mock,de,en-de(synthetic),1,1,major_fluency,major,fluency,0,4,"1,2,3,0",bbbfc9543ca8dca0,de_bbbfc9543ca8dca0_4,de_bbbfc9543ca8dca0_4_k1,24,25,False,0.6456142786796256,0.6456142786796256,,,
mock,de,en-de(synthetic),2,0,none,,,,0,"1,2,3,0",bbbfc9543ca8dca0,de_bbbfc9543ca8dca0_4,de_bbbfc9543ca8dca0_4_k2,46,48,False,0.8358590755157886,0.8497777767338126,0.8521551716644687,,
mock,de,en-de(synthetic),2,1,minor_accuracy,minor,accuracy,1,1,"1,2,3,0",bbbfc9543ca8dca0,de_bbbfc9543ca8dca0_4,de_bbbfc9543ca8dca0_4_k2,46,48,False,0.8202292577565253,0.8497777767338126,0.7924331682451146,,
mock,de,en-de(synthetic),2,2,minor_accuracy,minor,accuracy,"0,1",4,"1,2,3,0",bbbfc9543ca8dca0,de_bbbfc9543ca8dca0_4,de_bbbfc9543ca8dca0_4_k2,46,48,False,0.7397041654738665,0.7238970733300653,0.7924331682451146,,
mock,de,en-de(synthetic),2,1,minor_fluency,minor,fluency,1,1,"1,2,3,0",bbbfc9543ca8dca0,de_bbbfc9543ca8dca0_4,de_bbbfc9543ca8dca0_4_k2,46,48,False,0.8321720129395653,0.8497777767338126,0.8183609632493116,,
mock,de,en-de(synthetic),2,2,minor_fluency,minor,fluency,"0,1",4,"1,2,3,0",bbbfc9543ca8dca0,de_bbbfc9543ca8dca0_4,de_bbbfc9543ca8dca0_4_k2,46,48,False,0.8071427558106546,0.8092218303875952,0.8183609632493116,,
