metric,scope,candidate,n,n_params,r2,rmse,cv_r2,cv_rmse,aic,bic,param,param_lo,param_hi,a,b
mock,k=2,mean,540,2,0.9317080119509439,0.025246997350091213,0.9313844009891477,0.02530674483499489,-3969.371890932806,-3960.7887526536892,,,,-0.04882420103639787,1.048695307662826
mock,k=2,min,540,2,0.9396734234654545,0.02372898691108574,0.9394661325859831,0.02376972007267142,-4036.3425339143846,-4027.759395635268,,,,0.09542812190034841,0.9069212252995473
mock,k=2,max,540,2,0.5522420304597591,0.0646467235778576,0.5512091498650561,0.06472124361753487,-2953.9232827865603,-2945.3401445074437,,,,0.14792885182043408,0.7454910358622604
mock,k=2,median,540,2,0.9317080119509439,0.025246997350091213,0.9313844009891477,0.02530674483499489,-3969.371890932806,-3960.7887526536892,,,,-0.04882420103639787,1.048695307662826
mock,k=2,power_mean,540,3,0.9897110662303851,0.009799638211473671,0.9896251924457292,0.00984044824220131,-4989.442596078322,-4976.567888659647,-4.024527768878645,-4.2245277688786445,-3.824527768878645,-0.004732525895015829,1.0061448400792208
mock,k=2,softmin,540,3,0.989696000291011,0.009806810322353018,0.9895788243545091,0.009862413667567564,-4988.652460110369,-4975.777752691694,0.13212123266194042,0.12473048668280783,0.13994990787217568,-0.008211014425418906,1.0114535107199412
mock,k=4,mean,1020,2,0.9164896450940446,0.02593764235849226,0.9163757927069665,0.02595531715274359,-7446.20238467164,-7436.347268859084,,,,-0.07767719418283862,1.0796874097999252
mock,k=4,min,1020,2,0.8722996504957049,0.03207424010289644,0.8720788390809877,0.03210195850543998,-7012.992202439126,-7003.13708662657,,,,0.17744306109880537,0.8210962330483109
mock,k=4,max,1020,2,0.34640441213789264,0.07256294307030076,0.3457782146322905,0.07259769533646286,-5347.533863523705,-5337.678747711148,,,,0.1714416696428233,0.6913380288691131
mock,k=4,median,1020,2,0.8156231980705874,0.038540156322884586,0.8153145379344218,0.03857240234116037,-6638.351302162604,-6628.4961863500475,,,,0.06641326482762576,0.8904352127891352
mock,k=4,power_mean,1020,3,0.9873187045647174,0.010107462604164716,0.9872215233748695,0.010146117195185954,-9366.741762784184,-9351.959089065349,-3.8531224773997486,-3.9531224773997486,-3.7531224773997485,-0.0011630188127726968,1.0010762346158846
mock,k=4,softmin,1020,3,0.987015074050798,0.010227749240228803,0.9869418406460665,0.010256550320216893,-9342.607507240733,-9327.824833521898,0.1388705371543601,0.1388705371543601,0.14319055039233766,-0.007925799792435764,1.0107802006013238
